analysis_indicators_type,analysis_indicators_name,alysis_indicators_slug
Общий анализ крови,Базофилы,obshchiy-analiz-krovi-bazofily
Общий анализ крови,Гемоглобин,obshchiy-analiz-krovi-gemoglobin
Общий анализ крови,Гематокрит,obshchiy-analiz-krovi-gematokrit
Общий анализ крови,Лейкоциты,obshchiy-analiz-krovi-leykotsity
Общий анализ крови,Лимфоциты,obshchiy-analiz-krovi-limfotsity
Общий анализ крови,Лимфоцит абс.,obshchiy-analiz-krovi-limfotsit-abs
Общий анализ крови,Моноциты,obshchiy-analiz-krovi-monotsity
Общий анализ крови,Нейтрофилы (сегменты),obshchiy-analiz-krovi-neytrofily-segmenty
Общий анализ крови,Нейтрофилы (сегменты) абс.,obshchiy-analiz-krovi-neytrofily-segmenty-abs
Общий анализ крови,Нейтрофилы (палочки),obshchiy-analiz-analiz-krovi-neytrofily-palochki
Общий анализ крови,Нейтрофилы (палочки) абс.,obshchiy-analiz-krovi-neytrofily-palochki-abs
Общий анализ крови,Скорость оседания эритроцитов,obshchiy-analiz-krovi-skorost-osedaniya-eritrotsitov
Общий анализ крови,Тромбоциты,obshchiy-analiz-krovi-trombotsity
Общий анализ крови,Эозинофилы,obshchiy-analiz-krovi-eozinofily
Общий анализ крови,Эозинофилы абс.,obshchiy-analiz-krovi-eozinofily-abs
Общий анализ крови,Эритроциты,obshchiy-analiz-krovi-eritrotsity
Общий анализ крови,Эритроциты: средний объём,obshchiy-analiz-krovi-eritrotsity-sredniy-obyom
Общий анализ крови,Эритроциты: коэффициент вариации,obshchiy-analiz-krovi-eritrotsity-koeffitsient-variatsii
Общий анализ крови,Эритроциты: среднее содержание гемоглобина,obshchiy-analiz-krovi-eritrotsity-srednee-soderzhanie-gemoglobina
Общий анализ крови,Эритроциты: средняя концентрация гемоглобина,obshchiy-analiz-krovi-eritrotsity-srednyaya-kontsentratsiya-gemoglobina
Биохимический анализ крови,Азот мочевины,biokhimicheskiy-analiz-krovi-azot-mocheviny
Биохимический анализ крови,Альфа–фетопротеин,biokhimicheskiy-analiz-krovi-alfa-fetoprotein
Биохимический анализ крови,Альфа–антитрипсин,biokhimicheskiy-analiz-krovi-alfa-antitripsin
Биохимический анализ крови,Билирубин общий,biokhimicheskiy-analiz-krovi-bilirubin-obshchiy
Биохимический анализ крови,Билирубин прямой,biokhimicheskiy-analiz-krovi-bilirubin-pryamoy
Биохимический анализ крови,Витамин В,biokhimicheskiy-analiz-krovi-vitamin-v
Биохимический анализ крови,Креатинин,biokhimicheskiy-analiz-krovi-kreatinin
Биохимический анализ крови,Мочевая кислота,biokhimicheskiy-analiz-krovi-mochevaya-kislota
Биохимический анализ крови,Простатический специфический антиген,biokhimicheskiy-analiz-krovi-prostaticheskiy-spetsificheskiy-antigen
Биохимический анализ крови,Простатический специфический антиген свободный,biokhimicheskiy-analiz-krovi-prostaticheskiy-spetsificheskiy-antigen-svobodnyy
Биохимический анализ крови,Прокальцитонин,biokhimicheskiy-analiz-krovi-prokaltsitonin
Биохимический анализ крови,Ревматоидный фактор,biokhimicheskiy-analiz-krovi-revmatoidnyy-faktor
Биохимический анализ крови,Тропонин Т,biokhimicheskiy-analiz-krovi-troponin-t
Биохимический анализ крови,Цистатин С,biokhimicheskiy-analiz-krovi-tsistatin-s
Биохимический анализ крови,С-реактиный белок,biokhimicheskiy-analiz-krovi-s-reaktinyy-belok
Биохимический анализ крови,NT-proBNP,biokhimicheskiy-analiz-krovi-nt-probnp
Биохимический анализ крови,Железо,biokhimicheskiy-analiz-krovi-zhelezo
Биохимический анализ крови,Железосвязывающая способность,biokhimicheskiy-analiz-krovi-zhelezosvyazyvayushchaya-sposobnost
Биохимический анализ крови,Калий,biokhimicheskiy-analiz-krovi-kaliy
Биохимический анализ крови,Кальций,biokhimicheskiy-analiz-krovi-kaltsiy
Биохимический анализ крови,Магний,biokhimicheskiy-analiz-krovi-magniy
Биохимический анализ крови,Натрий,biokhimicheskiy-analiz-krovi-natriy
Биохимический анализ крови,Насыщение трансферрином,biokhimicheskiy-analiz-krovi-nasyshchenie-transferrinom
Биохимический анализ крови,Ферритин,biokhimicheskiy-analiz-krovi-ferritin
Биохимический анализ крови,Альбумины,biokhimicheskiy-analiz-krovi-albuminy
Биохимический анализ крови,Глобулины α1,biokhimicheskiy-analiz-krovi-globuliny-1
Биохимический анализ крови,Глобулины α2,biokhimicheskiy-analiz-krovi-globuliny-2
Биохимический анализ крови,Глобулины β,biokhimicheskiy-analiz-krovi-globuliny-beta
Биохимический анализ крови,Глобулины γ,biokhimicheskiy-analiz-krovi-globuliny-gamma
Биохимический анализ крови,Общий белок,biokhimicheskiy-analiz-krovi-obshchiy-belok
Биохимический анализ крови,Триглицериды,biokhimicheskiy-analiz-krovi-triglitseridy
Биохимический анализ крови,Холестерин общий,biokhimicheskiy-analiz-krovi-kholesterin-obshchiy
Биохимический анализ крови,Холестерин ЛНП,biokhimicheskiy-analiz-krovi-kholesterin-lnp
Биохимический анализ крови,Холестерин ЛВП,biokhimicheskiy-analiz-krovi-kholesterin-lvp
Биохимический анализ крови,Аланинаминотрансфераза,biokhimicheskiy-analiz-krovi-alaninaminotransferaza
Биохимический анализ крови,Амилаза,biokhimicheskiy-analiz-krovi-amilaza
Биохимический анализ крови,Аспартатаминотрансфераза,biokhimicheskiy-analiz-krovi-aspartataminotransferaza
Биохимический анализ крови,Креатинкиназа,biokhimicheskiy-analiz-krovi-kreatinkinaza
Биохимический анализ крови,Креатинкиназа МВ,biokhimicheskiy-analiz-krovi-kreatinkinaza-mv
Биохимический анализ крови,Гамма-глутамилтрансфераза,biokhimicheskiy-analiz-krovi-gamma-glutamiltransferaza
Биохимический анализ крови,Щелочная фосфатаза,biokhimicheskiy-analiz-krovi-shchelochnaya-fosfataza
Эндокринная система,Глюкоза,endokrinnaya-sistema-glyukoza
Эндокринная система,Гликированный гемоглобин (HbA1с),endokrinnaya-sistema-glikirovannyy-gemoglobin-hba1s
Эндокринная система,Инсулин,endokrinnaya-sistema-insulin
Эндокринная система,Кортизол,endokrinnaya-sistema-kortizol
Эндокринная система,Метанефрин,endokrinnaya-sistema-metanefrin
Эндокринная система,Норметанефрин,endokrinnaya-sistema-normetanefrin
Эндокринная система,Паратиреоидный гормон,endokrinnaya-sistema-paratireoidnyy-gormon
Эндокринная система,С-пептид,endokrinnaya-sistema-s-peptid
Эндокринная система,Тест толерантности к глюкозе,endokrinnaya-sistema-test-tolerantnosti-k-glyukoze
Эндокринная система,Тиреотропный гормон,endokrinnaya-sistema-tireotropnyy-gormon
Эндокринная система,Тироксин (Т4),endokrinnaya-sistema-tiroksin-t4
Эндокринная система,Тироксин свободный (свТ4),endokrinnaya-sistema-tiroksin-svobodnyy-svt4
Эндокринная система,Трийодтиронин (Т3),endokrinnaya-sistema-triyodtironin-t3
Эндокринная система,Трийодтиронин свободный (свТ3),endokrinnaya-sistema-triyodtironin-svobodnyy-svt3
Эндокринная система,Альдостерон,endokrinnaya-sistema-aldosteron
Эндокринная система,Кортизол свободный,endokrinnaya-sistema-kortizol-svobodnyy
Коагулограмма,Антитромбин III,koagulogramma-antitrombin-iii
Коагулограмма,АЧТВ,koagulogramma-achtv
Коагулограмма,Время кровотечения,koagulogramma-vremya-krovotecheniya
Коагулограмма,Д–димер,koagulogramma-d-dimer
Коагулограмма,МНО,koagulogramma-mno
Коагулограмма,Протромбиновое время,koagulogramma-protrombinovoe-vremya
Коагулограмма,Продукты деградации фибрина,koagulogramma-produkty-degradatsii-fibrina
Коагулограмма,Протени C,koagulogramma-proteni-c
Коагулограмма,Протеин S,koagulogramma-protein-s
